referent_id,category,subcategory,referent_summary,source_of_truth,authoritative_statement,source_date,source_url,evidence_type,epistemic_basis,notes,references
REF-AMODEI-ENTRYLEVEL,Labor / Jobs,White-collar displacement,Amodei's prediction about AI eliminating entry-level white-collar jobs and raising unemployment,"Dario Amodei (CEO, Anthropic), Axios 'Behind the Curtain' interview",Amodei said AI could eliminate up to half of entry-level white-collar jobs and push unemployment to 10-20% within one to five years.,2025-05,https://www.axios.com/2025/05/28/ai-jobs-white-collar-unemployment-anthropic,expert judgment / forecast,No study or model published alongside; rests on fast capability growth + rapid deployment + no offsetting job creation.,"SOURCE: Primary: Axios 'Behind the Curtain' by VandeHei & Allen, 2025-05-28.",[]
REF-GS-EXPOSURE,Labor / Jobs,Exposure estimates,Goldman Sachs estimate of global job-task exposure to generative AI,"Goldman Sachs Research (Briggs & Kodnani), 'The Potentially Large Effects of AI on Economic Growth'",Report estimated generative AI is exposed to work equivalent to ~300 million full-time jobs globally and could affect up to two-thirds of US/EU occupations to some degree.,2023-03,https://www.gspublishing.com/content/research/en/reports/2023/03/27/d64e052b-0f6e-45d7-967b-d7be35fabd16.html,model / estimate,"Exposure = share of tasks automatable or augmentable, not jobs lost; same report projects productivity/GDP gains.","SOURCE: Primary: Goldman Sachs Global Investment Research, 2023-03-26.",[]
REF-IMF-EXPOSURE,Labor / Jobs,Exposure estimates,IMF estimate of the share of jobs exposed to AI,"IMF (Georgieva / staff discussion note), 'Gen-AI: Artificial Intelligence and the Future of Work'","IMF estimated ~40% of jobs worldwide are exposed to AI, rising to ~60% in advanced economies, with roughly half of exposed jobs potentially benefiting and half potentially harmed.",2024-01,https://www.imf.org/en/publications/staff-discussion-notes/issues/2024/01/14/gen-ai-artificial-intelligence-and-the-future-of-work-542379,model / analytical estimate,"Occupation -> estimated task exposure -> share of employment; 'exposure' is explicitly bidirectional (help or harm), not 'at risk'.","Frequent distortion target: 'exposed' misread as 'at risk / will be lost'. | SOURCE: Primary: IMF Staff Discussion Note SDN/2024/001, 2024-01-14.",[]
REF-WEF-FOJ,Labor / Jobs,Churn forecasts,WEF Future of Jobs projections of gross job displacement and creation,"World Economic Forum, Future of Jobs Reports 2023 and 2025","The 2025 report projected 92 million jobs displaced and 170 million created by 2030 (net positive), with large gross churn.",2023 and 2025,https://www.weforum.org/publications/the-future-of-jobs-report-2025/,opinion survey (employer forecasts),Based on surveyed employer expectations; net effect framed positive; survey sentiment is a weak predictor of outcomes.,SOURCE: Primary: WEF report page; press release 2025-01-08.,[]
REF-MUSK-OPTIONAL,Labor / Jobs,Total automation,Musk's claim that AI will make paid work optional,"Elon Musk, remarks at VivaTech / UK AI Safety Summit",Musk said AI will make paid work optional and that in the long run probably none of us will have a job.,2024-2026,https://www.cnn.com/2024/05/23/tech/elon-musk-ai-your-job,bare assertion / speculation,No timeframe or mechanism; long-horizon futurism.,"Anchoring date/venue for the exact quote not pinned. | SOURCE/2026-VERIFY: 2026 CHECK: position HOLDS. Original: VivaTech Paris 2024-05-23 ('in a benign scenario, probably none of us will have a job'; 'universal high income'). Restated Nov 2025 (X post: 'no poverty in the future...no need to save money') and Fox Business 2025-12-17 ('reiterated his stance this week'); still cited as current in Jerusalem Post 2026-01-30. Build claim library from 2024 quote + 2025-2026 restatements.","[{""date"": ""2024-05-23"", ""url"": ""https://www.cnn.com/2024/05/23/tech/elon-musk-ai-your-job"", ""text"": ""In a benign scenario, \""probably none of us will have a job.\"""", ""kind"": ""verbatim"", ""provenance"": ""secondary"", ""note"": ""VivaTech Paris; verbatim quote as reported by CNN.""}, {""date"": ""2025-11"", ""url"": ""https://www.foxbusiness.com/economy/musk-predicts-ai-create-universal-high-income-make-saving-money-unnecessary"", ""text"": ""Predicts 'universal high income'; says no poverty ahead so no need to save money."", ""kind"": ""paraphrase"", ""provenance"": ""secondary"", ""note"": ""Paraphrase of a Nov 2025 X post as reported by Fox Business; 'universal high income' is Musk's term.""}, {""date"": ""2026-01-30"", ""url"": ""https://www.jpost.com/opinion/article-885054"", ""text"": ""Op-ed re-cites his 'none of us will have a job' line as his current position."", ""kind"": ""paraphrase"", ""provenance"": ""secondary"", ""note"": ""Circulating: third-party op-ed, not a fresh Musk utterance.""}]"
REF-ZUCK-ENGINEER,Labor / Jobs,Software engineering,Zuckerberg's claim that AI will match a mid-level engineer,"Mark Zuckerberg, Joe Rogan Experience podcast",Zuckerberg said AI will be capable of writing code at the level of a mid-level engineer and that Meta may use AI for such work in 2025.,2025-01,https://www.itpro.com/software/development/a-sign-of-things-to-come-in-software-development-mark-zuckerberg-says-ai-will-be-doing-the-work-of-mid-level-engineers-this-year-and-hes-not-the-only-big-tech-exec-predicting-the-end-of-the-profession,expert judgment / forecast,Prediction about near-term capability; SWE employment had not collapsed as of the claim.,Episode reportedly aired 2025-01-10 (from verification pass). | SOURCE: Primary: The Joe Rogan Experience episode (aired ~2025-01-10). Verbatim quote ('...a sort of mid-level engineer...that can write code') documented here (IT Pro) and by Business Insider.,[]
REF-HUANG-CODING,Labor / Jobs,Software engineering,Huang's claim that AI removes the need to learn to code,"Jensen Huang (CEO, NVIDIA), World Government Summit, Dubai","Huang said AI reduces the need to learn to code because the system effectively becomes the programmer, and that everybody is now a programmer.",2024-02,https://blogs.nvidia.com/blog/world-governments-summit/,expert judgment / opinion,Assertion about skill relevance; contested by educators who argue coding literacy still matters.,"Remarks reportedly 2024-02-12 (from verification pass). | SOURCE: Primary: NVIDIA official blog on Huang's World Governments Summit fireside chat, Dubai, Feb 2024 ('everybody in the world is now a programmer').",[]
REF-MCKINSEY-GENAI,Labor / Jobs,Automation potential,McKinsey estimate of generative AI value and automation of work activities,"McKinsey Global Institute, 'The economic potential of generative AI'",MGI estimated generative AI could add trillions in value and that half of today's work activities could be automated between roughly 2030 and 2060.,2023-06,https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-economic-potential-of-generative-ai-the-next-productivity-frontier,model / scenario,Automation timelines span decades with wide uncertainty; framed largely as augmentation.,"SOURCE: Primary: McKinsey Digital, 2023-06-14.",[]
REF-ACEMOGLU-MACRO,Labor / Jobs,Skeptical estimates,Acemoglu's modest estimate of AI task automation and productivity effect,"Daron Acemoglu (MIT), 'The Simple Macroeconomics of AI'","Acemoglu estimated AI will automate on the order of 5% of tasks over ~10 years, with small productivity and GDP gains.",2024,https://www.nber.org/papers/w32487,model,A macro model with stated assumptions; disputes optimistic capability/compounding assumptions.,"SOURCE: Primary: NBER WP 32487, 2024; pub. Economic Policy 40(121):13-58, 2025.",[]
REF-AUTOR-MIDDLE,Labor / Jobs,Optimistic scenarios,Autor's argument that AI could help rebuild middle-class work,"David Autor (MIT), Noema Magazine essay 'How AI Could Help Rebuild the Middle Class'","Autor argued AI could help rebuild middle-skill, middle-class work by extending expertise to more workers, contingent on deployment and policy choices.",2024-02,https://www.nber.org/papers/w32140,expert judgment / argued scenario,"Honestly scoped: framed as a conditional possibility, not a prediction. Load-bearing assumption (the enabling choices) is not asserted to occur.","Candidate for subclaim decomposition ONLY if his stated mechanisms are pulled from the source; none invented here. | SOURCE: Primary: NBER WP 32140 (drafted for the Noema essay 'How AI Could Help Rebuild the Middle Class'), Feb 2024.",[]
