id,company,ticker,announcement_date,effective_date,count,count_precision,count_scope,country,region_detail,sector,ai_attribution,causal_link,attribution_quote,attribution_notes,source_url,source_type,press_independent,cross_references,verification_status,added_date,updated_date,notes
google-2023-01,Google,GOOGL,2023-01-20,,12000,approximate,global,US,,tech,explicit_company,contextual,"We have a substantial opportunity in front of us with AI across our products and are prepared to approach it boldly and responsibly. — Sundar Pichai (CEO), company blog post announcing the 12,000-role reduction, 2023-01-20, https://blog.google/inside-google/message-ceo/january-update/","AI named in the layoff announcement itself, but as the opportunity the refocus is directed toward — stated CAUSE is over-hiring ('we hired for a different economic reality than the one we face today'). Legacy label 'AI pivot' overstated causation. BORDERLINE: if the bar is causal attribution, this is none_stated.",https://blog.google/inside-google/message-ceo/january-update/,company_statement,,,verified,2026-07-03,2026-07-03,"Recode 2026-07-03. Count confirmed vs primary ('approximately 12,000 roles'). Cuts global, US primary. Flagged: contextual (not causal) company AI framing — human to confirm inclusion bar."
microsoft-2023-01,Microsoft,MSFT,2023-01-18,,10000,approximate,global,US,,tech,explicit_company,contextual,"At the same time, the next major wave of computing is being born with advances in AI, as we're turning the world's most advanced models into a new computing platform. — Satya Nadella (CEO), employee memo, 2023-01-18, https://blogs.microsoft.com/blog/2023/01/18/subject-focusing-on-our-short-and-long-term-opportunity/","AI named in the memo as the strategic wave being reallocated toward; stated CAUSE is demand alignment ('align our cost structure with our revenue and where we see customer demand') and recession caution. Legacy label 'AI restructuring' overstated causation. BORDERLINE: contextual, not causal.",https://blogs.microsoft.com/blog/2023/01/18/subject-focusing-on-our-short-and-long-term-opportunity/,company_statement,,,verified,2026-07-03,2026-07-03,"Recode 2026-07-03. Count confirmed vs primary (10,000, <5% of workforce). Cuts global, US primary. Flagged: contextual (not causal) company AI framing — human to confirm inclusion bar."
meta-2023-03,Meta,META,2023-03-14,,10000,approximate,global,,,tech,explicit_company,contextual,"Our single largest investment is in advancing AI and building it into every one of our products. — Mark Zuckerberg (CEO), 'Update on Meta's Year of Efficiency', 2023-03-14, https://about.fb.com/news/2023/03/mark-zuckerberg-meta-year-of-efficiency/","Weakest company-AI link of the 2023 big-tech rows: stated reasons are efficiency/economics (interest rates, geopolitical instability, regulation); AI appears as investment priority and internal tooling ('AI tools to help engineers write better code faster'), not as cause. Legacy label 'AI restructuring' overstated causation. BORDERLINE — strongest removal candidate among the borderline three if a causal bar is applied.",https://about.fb.com/news/2023/03/mark-zuckerberg-meta-year-of-efficiency/,company_statement,,,verified,2026-07-03,2026-07-03,"Recode 2026-07-03. Count confirmed vs primary ('around 10,000 people' plus ~5,000 open roles closed); executed in waves (Apr tech, May business). No geographic split disclosed. Flagged: contextual (not causal) company AI framing — human to confirm inclusion bar."
buzzfeed-2023-04,BuzzFeed,,2023-04-20,,180,approximate,country,US,,media,analyst_inferred,mixed,"One reason behind the layoffs is undoubtedly not just cost savings, but the belief that AI will be able to replace some of the work previously done by writers at Buzzfeed News. — Karsten Weide, principal analyst, W Media Research, in The Drum, 2023-04-20, https://www.thedrum.com/news/buzzfeed-news-dissolved-company-eyes-ai-experts-say-its-sign-things-come","CONFLICT recorded both ways: analyst asserts AI replacement; BuzzFeed spokesperson denied on the record ('no jobs are being replaced by artificial intelligence', via Poynter https://www.poynter.org/business-work/2023/buzzfeed-news-closed-180-staffers-laid-off/). Peretti's stated reasons were financial (pandemic, SPAC capital fading, ad market); his memo mentions AI only as a future focus. Legacy label 'replaced writers with AI' asserted as fact what an analyst inferred and the company denied.",https://www.thedrum.com/news/buzzfeed-news-dissolved-company-eyes-ai-experts-say-its-sign-things-come,press_report,,,disputed,2026-07-03,2026-07-03,"Recode 2026-07-03. 180 staffers (~15%), BuzzFeed News shut down, 2023-04-20. Keep conflict visible — never present as company-attributed."
ibm-2023-05,IBM,IBM,2023-05-01,,,undisclosed,unknown,US,,tech,explicit_company,sole,"These non-customer-facing roles amount to roughly 26,000 workers. I could easily see 30 percent of that getting replaced by AI and automation over a five-year period. — Arvind Krishna (CEO), Bloomberg interview 2023-05-01, verified via Al Jazeera report 2023-05-03, https://www.aljazeera.com/economy/2023/5/3/ibm-to-freeze-hiring-as-ceo-expects-ai-to-replace-7800-jobs","Explicit company AI attribution — but NOT of a layoff: this was a hiring pause/slowdown plus a 5-year projection (7,800 = 30% of ~26,000 back-office roles). IBM spokesperson clarified no blanket pause, only selective restrictions. No one was laid off in this announcement.",https://www.aljazeera.com/economy/2023/5/3/ibm-to-freeze-hiring-as-ceo-expects-ai-to-replace-7800-jobs,press_report,,,single_source,2026-07-03,2026-07-03,"Recode 2026-07-03; kept with count nulled per the Klarna precedent (human decision 2026-07-03): explicit company AI attribution, but the event is a hiring pause plus a five-year projection, not a layoff — 7,800 was Krishna's derived projection (30% of ~26,000 back-office roles replaceable by AI and automation over five years). No one was laid off in this announcement; count left undisclosed so the chart excludes it. Bloomberg primary paywalled; quote verified via Al Jazeera carrier."
chegg-2023-05,Chegg,CHGG,2023-06-12,,80,approximate,global,,,edtech,explicit_company,mixed,"Unfortunately, this reprioritization has resulted in the elimination of approximately 4% of our global workforce... now we need to ensure that our resources are focused on the AI opportunity ahead. — Dan Rosensweig (CEO), letter to employees 2023-06-12, filed as Exhibit 99.1 to Form 8-K, https://www.sec.gov/Archives/edgar/data/0001364954/000136495423000095/lettertocheggincemployees.htm",Cleanest explicit company AI attribution in the 2023 rows: cuts framed as reprioritization toward the AI strategy (CheggMate/OpenAI collaboration). Preceded by the 2023-05-02 earnings-call disclosure that ChatGPT was hurting new-customer growth.,https://www.sec.gov/Archives/edgar/data/0001364954/000136495423000095/lettertocheggincemployees.htm,regulatory_filing,true,,verified,2026-07-03,2026-07-03,Recode 2026-07-03. Date corrected from 2023-05-02 (that was the ChatGPT-impact earnings call) to 2023-06-12 (8-K layoff letter); id kept stable per conventions. Count ~80 is press-derived from 'approximately 4% of global workforce'. Primary fetched from EDGAR.
stack-overflow-2023-10,Stack Overflow,,2023-10-16,,100,approximate,unknown,US,,tech,press_inferred,contextual,,"No verbatim AI attribution by anyone. CEO Chandrasekar's stated reasons: 'customers' budgets shifting elsewhere due to the macroeconomic pressures' and 'This year we took many steps to spend less... those changes were not enough.' Press (TechCrunch, Futurism, SiliconANGLE) framed the 28% cut against declining traffic as 'coders opt for ChatGPT' — editorial framing, no named person making a citable causal claim. Legacy label 'AI traffic decline' stated drift as fact. Coded press_inferred provisionally; quote left empty per no-fabrication rule.",https://techcrunch.com/2023/10/17/stack-overflow-cuts-28-of-its-staff/,press_report,,,single_source,2026-07-03,2026-07-03,"Recode 2026-07-03. BORDERLINE — human review: no citable person says 'AI caused this' (unlike buzzfeed-2023-04's analyst quote); if the bar requires a named source, this is none_stated/removal. ~28% of staff (company-stated pct); 'more than 100 people' is a press estimate, exact headcount not disclosed. Verge original blocked; TechCrunch carrier."
duolingo-2024-01,Duolingo,DUOL,2024-01-09,,100,approximate,unknown,US,,edtech,explicit_company,mixed,"We just no longer need as many people to do the type of work some of these contractors were doing. Part of that could be attributed to AI. — Duolingo spokesperson, statement to TechCrunch, 2024-01-09, https://techcrunch.com/2024/01/09/duolingo-cut-10-of-its-contractor-workforce-as-the-company-embraces-ai/","Company disputed calling it a 'layoff' — a 'small minority' of contractors (~10% of contractor workforce) let go as projects wrapped; CONTRACTORS, not employees. Von Ahn's 'move with urgency and take occasional small hits on quality' quote is about AI content tradeoffs generally, not these cuts.",https://techcrunch.com/2024/01/09/duolingo-cut-10-of-its-contractor-workforce-as-the-company-embraces-ai/,press_report,,,single_source,2026-07-03,2026-07-03,"Recode 2026-07-03. Cleanest explicit_company hit in the 2024 rows. FLAG: contractor cuts, not employees — scope doesn't yet address the distinction; row count 100 not independently confirmed (sources give a percentage of contractors, not a number). CNN original returned HTTP 451."
google-2024-01,Google,GOOGL,2024-01-11,,1000,approximate,country,US,,tech,press_inferred,contextual,,"No verbatim quote ties this Jan 11, 2024 round (hardware/Assistant/engineering) to AI. Google's on-record statement (to Forbes): cuts were to 'become more efficient and work better, and to align resources to biggest product priorities.' Bloomberg framed it as part of a shift 'to focus on artificial intelligence' — press framing, no company quote. Legacy label 'Gemini pivot' was drift; the widely-circulated Raghavan 'spending a ton more on machines' quote belongs to a DIFFERENT event (April 2024 all-hands re: May 2024 Core cuts) and must not attach to this row.",https://www.bloomberg.com/news/articles/2024-01-11/google-lays-off-hundreds-in-hardware-voice-assistant-teams,press_report,,,single_source,2026-07-03,2026-07-03,"Recode 2026-07-03. COUNT CONFLICT recorded, not resolved: Google said 'hundreds'; Alphabet Workers Union said 'more than 1,000' — row's 1000 aligns with the union figure only. BORDERLINE: editorial framing without a named quoted source sits at the weak edge of press_inferred; human to confirm the bar or recode to none_stated. Original Yahoo source_url redirected to unrelated content."
chegg-2024-06,Chegg,CHGG,2024-06-17,,441,approximate,global,US,,edtech,explicit_company,sole,,"PROVISIONAL — no verbatim quote in hand: CEO Nathan Schultz reportedly cited Google's shift to AI-driven search ('Google is shifting from being a search origination point to the destination') and ChatGPT competition around the June 17, 2024 restructuring (441, ~23%), consistently across secondary sources — but the SEC 8-K and Inc.com both 403'd this session, so no quote was fetched and none is entered per the no-fabrication rule. Pattern-consistent with chegg-2023-05 and chegg-2025-10 (both verified explicit_company).",https://www.sec.gov/Archives/edgar/data/0001364954/000136495424000066/chgg-20240617.htm,regulatory_filing,true,,single_source,2026-07-03,2026-07-03,"Recode 2026-07-03. NEEDS FOLLOW-UP FETCH (EDGAR full-text search or mirror) before the code is final and a quote is entered. Count 441 confirmed; pct discrepancy recorded (22% legacy headline vs 23% reported). Geographic split (35% US, 20% Israel, rest India) reported but unconfirmed. Original Yahoo source_url redirects to unrelated 2025 article — do not reuse."
